"","id","tvalue","pvalue","correlation","band","task","Bonferroni","BH","Holm","Hochberg","Hommel","BY"
"58","voc_AF4_closed_ForgettingRate_LowBeta",1.84337431154581,0.0714531662547246,0.257122628507742,"LowBeta","Vocabulary",1,0.583519316190596,1,0.997120948748304,0.997120948748304,1
"59","voc_F3_closed_ForgettingRate_LowBeta",1.67395168925612,0.10064523494271,0.234856198292424,"LowBeta","Vocabulary",1,0.609311692626139,1,0.997120948748304,0.997120948748304,1
"60","voc_F4_closed_ForgettingRate_LowBeta",1.96563863982303,0.05514004223746,0.272942889503562,"LowBeta","Vocabulary",1,0.575791903767554,1,0.997120948748304,0.997120948748304,1
"61","voc_FC5_closed_ForgettingRate_LowBeta",1.03549018716102,0.30562882989969,0.147818246669838,"LowBeta","Vocabulary",1,0.75239412752085,1,0.997120948748304,0.997120948748304,1
"62","voc_FC6_closed_ForgettingRate_LowBeta",1.43873518140546,0.156714666396376,0.203325685883829,"LowBeta","Vocabulary",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"63","voc_F7_closed_ForgettingRate_LowBeta",2.09580511173017,0.0413973682496281,0.289545455256402,"LowBeta","Vocabulary",1,0.54547120517157,1,0.997120948748304,0.997120948748304,1
"64","voc_F8_closed_ForgettingRate_LowBeta",1.72212757540373,0.0914852965044704,0.241227171466041,"LowBeta","Vocabulary",1,0.609311692626139,1,0.997120948748304,0.997120948748304,1
"65","voc_T7_closed_ForgettingRate_LowBeta",-0.188262620360891,0.851464461047175,-0.0271633418898316,"LowBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"66","voc_T8_closed_ForgettingRate_LowBeta",1.69978155961173,0.0956444104675868,0.238275866128248,"LowBeta","Vocabulary",1,0.609311692626139,1,0.997120948748304,0.997120948748304,1
"67","voc_P7_closed_ForgettingRate_LowBeta",0.277142733005374,0.782860584258888,0.0399701411759526,"LowBeta","Vocabulary",1,0.943218353837189,1,0.997120948748304,0.997120948748304,1
"68","voc_P8_closed_ForgettingRate_LowBeta",3.24260343284112,0.0021573100019656,0.423898787384318,"LowBeta","Vocabulary",0.483237440440294,0.412983057485991,0.483237440440294,0.483237440440294,0.478922820436363,1
"69","voc_O1_closed_ForgettingRate_LowBeta",1.39965115398445,0.168047780043912,0.198021723750204,"LowBeta","Vocabulary",1,0.638011910675191,1,0.997120948748304,0.997120948748304,1
"70","voc_O2_closed_ForgettingRate_LowBeta",2.50222819509619,0.0158017571497147,0.339689742422961,"LowBeta","Vocabulary",1,0.412983057485991,1,0.997120948748304,0.978876269642264,1
